店名,カテゴリー,地域,住所,電話,ホームページ,テイクアウト,デリバリー,備考
割烹 吉本,和食,中央,〒320-0027 宇都宮市塙田2-5-32セントラルステージ１階,028-622-6807,なし,あり,なし,
うなぎ天ぷら　ひよし,和食,東部,〒321-0952 宇都宮市泉が丘1-1-1,028-615-7750,なし,なし,なし,
炭火焼き鳥　とりよし,その他,中央,〒320-0808 宇都宮市宮園町1-2 2階,028-635-8722,なし,なし,なし,
炭火焼和牛ホルモンみらい,焼肉・ホルモン,東部,〒321-0904 宇都宮市陽東8-8-27,028-662-2495,なし,なし,なし,
食堂酒場 38HOUSE,各国料理（韓国料理・カレー等）,中央,〒320-0803 宇都宮市曲師町2-16,028-348-2930,なし,あり,あり,
角常食堂,和食,中央,〒320-0806 宇都宮市二荒町5-22,028-637-6022,なし,あり,なし,
BAR JIN,ダイニングバー・バル,中央,〒320-0026 宇都宮市馬場通り4-2-12暁ビル2階,090-5899-1428,なし,なし,なし,
ゲストルーム　コア,その他,中央,〒320-0034 宇都宮市泉町2-19山口ビル1階,028-643-3012,なし,なし,なし,
あぶり家　あんべえ,居酒屋,東部,〒321-0951 宇都宮市越戸1-16-16,028-678-5229,なし,あり,なし,
カフェシムーン,カフェ・スイーツ,中央,〒320-0844 宇都宮市菊水町11-19,070-7515-4600,https://foodplace.jp/cafe-simoon/,なし,なし,
有限会社ル・プラン,イタリアン・フレンチ,中央,〒320-0026 宇都宮市馬場通り３−１−２馬上ビル３F,028-633-4477,なし,なし,なし,
吞寄処　和家,居酒屋,北部,〒321-0984 宇都宮市御幸町1-18,028-688-8339,なし,あり,なし,
からやま　宇都宮御幸本町店,和食,北部,〒321-0983 宇都宮市御幸本町4864-1,028-680-5071,なし,あり,なし,
かつや宇都宮インターパーク店,和食,南部,〒321-0118 宇都宮市ｲﾝﾀｰﾊﾟｰｸ2-15-5,028-657-6400,なし,あり,なし,
かつや宇都宮長岡店,和食,北部,〒320-0004 宇都宮市長岡町471-1,028-600-5678,なし,あり,なし,
かつや宇都宮御幸本町店,和食,北部,〒321-0983 宇都宮市御幸本町4864-4,028-683-2700,なし,あり,なし,
かつや宇都宮鶴田店,和食,西部,〒320-0851 宇都宮市鶴田町1171-2,028-649-2660,なし,あり,なし,
いきなりステーキ宇都宮竹林店,ステーキ,北部,〒321-0974 宇都宮市竹林町549-1,028-612-5929,なし,あり,なし,
串やき　与一,居酒屋,中央,〒320-0802 宇都宮市江野町5-8タケカワ６ビル　地下１階,028-611-3225,なし,なし,なし,
同源菜,中華,中央,〒321-0964 宇都宮市駅前通り2-1-9,028-651-1371,なし,あり,なし,
鰻割烹　中村,和食,中央,〒320-0805 宇都宮市中央本町1－12,028-634-3337,https://tabelog.com/tochigi/A0901/A090101/9000143/,あり,あり,
居酒屋わくわく,居酒屋,中央,〒320-0014 宇都宮市大曽4-10-21YWKマンション1F,028-680-6309,なし,なし,なし,
かつや宇都宮簗瀬店,和食,中央,〒321-0933 宇都宮市簗瀬町字川原1864-3,028-614-1616,なし,あり,なし,
洋食ミジョテ,洋食,中央,〒320-0838 宇都宮市吉野2丁目1-6パルネット藤田101,028-666-8533,なし,あり,なし,
旬菜キミスケ,居酒屋,中央,〒320-0026 宇都宮市馬場通り2-3-6玉屋ふとんビル1F B,070-4351-5632,なし,あり,なし,
宇都宮タンメン本店,ラーメン,南部,〒320-0834 宇都宮市陽南3-12-29,,なし,あり,なし,
ラーメン　清家,ラーメン,北部,〒329-1104 宇都宮市下岡本町4520-17,028-673-6899,なし,なし,なし,
ぎやまん　HANARE,和食,中央,〒320-0027 宇都宮市塙田2-4-15,090-3577-8452,https://giyaman.jp/,あり,なし,
サンズイート,創作料理,西部,〒320-0056 宇都宮市戸祭3-4-24,028-643-5740,なし,なし,なし,
空　明,ダイニングバー・バル,中央,〒320-0026 宇都宮市馬場通り3-3-6第8鈴木店舗１階東,090-2725-8880,https://m.facebook.com/kumei8880/,なし,なし,
mr.kanso 宇都宮,ダイニングバー・バル,中央,〒320-0802 宇都宮市江野町11-1,028-307-7001,なし,あり,なし,
パイプのけむり　AOKI,その他,中央,〒320-0802 宇都宮市江野町6-6井上ビル４階,028-678-3942,なし,なし,なし,
寿し割烹　大和,和食,北部,〒329-1104 宇都宮市下岡本町4423,028-673-5523,なし,あり,あり,
イタリア料理ジジ,イタリアン・フレンチ,中央,〒320-0035 宇都宮市伝馬町2－20,028-634-5131,http://www.kimty.co,なし,なし,
Kitchen sato maman,カフェ・スイーツ,西部,〒321-0158 宇都宮市西川田本町2-6-18コラボモール内,028-612-1006,なし,あり,なし,
Osteria Porta Rossa,イタリアン・フレンチ,西部,〒320-0851 宇都宮市鶴田町522-5,028-678-6616,なし,あり,なし,
松家,各国料理（韓国料理・カレー等）,中央,〒320-0027 宇都宮市塙田2-1-2ピアシティ塙田1F,028-621-2460,なし,あり,なし,
ちゃん豚宇都宮,各国料理（韓国料理・カレー等）,東部,〒321-0953 宇都宮市東宿郷東パークハイツ103,028-307-2420,なし,あり,なし,
中華料理やのめ,居酒屋,中央,〒320-0804 宇都宮市二荒町1-6宇都宮屋台横丁,090-2316-9929,https://www.utsunomiya-yataiyokocho.com/18_yanome.html,なし,なし,
楽蔵　宇都宮池上店,居酒屋,中央,〒320-0801 宇都宮市池上町3-11丸井ビル　3F,028-651-6377,https://rakuzo.dkdining.com/utsunomiya/,なし,なし,
CELTS　宇都宮池上店,ダイニングバー・バル,中央,〒320-0801 宇都宮市池上町3-11丸井ビル　１F,028-614-4747,https://celts.dkdining.com/utsunomiya/,なし,なし,
COWGIRL,その他,東部,〒321-0953 宇都宮市東宿郷2-9-3雄鳳ビル1F,028-680-6719,なし,なし,なし,
LIPPGIRLS,その他,中央,〒320-0802 宇都宮市江野町2-6Tセントラルビル2F,028-666-5090,なし,なし,なし,
ダイニング蔵おしゃらく,創作料理,中央,〒320-0808 宇都宮市宮園町8-9,028-638-0409,http://www.sanyu.ac.jp/osharaku,あり,なし,
チャイナダイニング　蓮花茶廊,中華,西部,〒320-0047 宇都宮市一の沢2-16-10,028-612-3006,https://rengesarou.com/,あり,なし,
ごはんや丸富士,和食,南部,〒321-0169 宇都宮市八千代,026-658-1083,なし,あり,なし,
弥生田中屋,和食,南部,〒320-0837 宇都宮市弥生1-2-19,028-635-0700,なし,なし,あり,
コーラル・ラウンジ　リムジン,ダイニングバー・バル,中央,〒320-0026 宇都宮市馬場通り3-1-21馬上ビルB-1,028-636-8695,https://www.limous.jp,あり,なし,
彩,居酒屋,西部,〒320-0074 宇都宮市細谷町752-1,080-2553-2170,なし,なし,なし,
割烹　居酒屋　日本一,居酒屋,東部,〒321-0966 宇都宮市今泉3丁目11-1,028-627-4559,なし,なし,なし,
イタリアン酒場　Serata,イタリアン・フレンチ,中央,〒320-0802 宇都宮市江野町7-16立原ビル1F,028-616-3919,なし,あり,なし,
居酒屋　庄助,居酒屋,中央,〒320-0027 宇都宮市塙田2-3-3,028-622-3506,なし,なし,なし,
居酒屋はな街,居酒屋,中央,〒320-0802 宇都宮市江野町3-1,028-635-1070,なし,なし,なし,
中国料理　龍亭,中華,東部,〒321-0966 宇都宮市今泉1-1-7,028-627-7722,なし,なし,なし,
福一吉,居酒屋,東部,〒321-0953 宇都宮市東宿郷2-17-10東口屋台村内,028-601-7529,なし,あり,なし,
どんぶり丼,その他,中央,〒320-0014 宇都宮市大曽1丁目5-10大曽店舗4号,028-666-0452,なし,なし,なし,
串揚げみろく,居酒屋,東部,〒321-0953 宇都宮市東宿郷2-17-10東口屋台村内,090-4914-4806,なし,なし,なし,
ドトールコーヒーショップ　宇都宮南店,カフェ・スイーツ,南部,〒321-0147 宇都宮市針ケ谷町472-7,028-655-2300,なし,あり,なし,
ミナテラス　カフェ,イタリアン・フレンチ,南部,〒321-0118 宇都宮市ｲﾝﾀｰﾊﾟｰｸ6-2-1,028-656-1101,なし,あり,なし,
肉の万世　宇都宮インター店,洋食,北部,〒321-2116 宇都宮市徳次郎町高谷原12,028-665-3262,なし,なし,なし,
GELATERIA Vivo,カフェ・スイーツ,中央,〒320-0055 宇都宮市下戸祭2-1-11,028-612-2676,http://www.gelateria-vivo.com/,あり,なし,
食楽麦酒バース,居酒屋,東部,〒321-0951 宇都宮市越戸越戸1-6-14,028-689-2100,なし,なし,なし,
あぶりや多紋,居酒屋,北部,〒321-0982 宇都宮市御幸ケ原町116-15,028-661-5282,なし,あり,なし,
らーめん中村家,ラーメン,中央,〒321-0111 宇都宮市川田町176-3,028-678-3145,なし,あり,なし,
花＆カフェ　パストラル,カフェ・スイーツ,中央,〒320-0861 宇都宮市西1-4-4,028-666-7264,なし,なし,なし,
喫茶紫陽花,和食,中央,〒320-0021 宇都宮市東塙田2-8-44,028-625-3304,なし,あり,なし,
モスバーガー　宇都宮東店,ファストフード,東部,〒321-0942 宇都宮市峰1-23-30,028-632-1081,なし,あり,なし,
居酒屋こふで,居酒屋,東部,〒321-3226 宇都宮市ゆいの杜5－12－38,028-667-0310,なし,あり,なし,
モスバーガー　宇都宮岩曽店,ファストフード,北部,〒321-0973 宇都宮市岩曽町1318-1,028-613-1511,なし,あり,なし,
ワイン酒場リトモ,イタリアン・フレンチ,中央,〒321-0964 宇都宮市駅前通り2-1-9,028-680-5386,https://www.instagram.com/ritmoutsunomiya/?hl=ja,あり,なし,
ティールーム パ・ド・ドゥ,カフェ・スイーツ,南部,〒320-0838 宇都宮市吉野2-3-15,028-632-0201,なし,あり,なし,
割烹　八汐苑,和食,西部,〒320-0043 宇都宮市桜4-17-9,028-624-3355,なし,あり,あり,
グランシヤリオ,イタリアン・フレンチ,中央,〒320-0804 宇都宮市二荒町1-9,028-639-0778,なし,なし,なし,
ふたあら,居酒屋,中央,〒320-0804 宇都宮市二荒町1-6 宇都宮屋台横丁内,090-4672-8639,なし,なし,なし,
石窯パン工房 Pan de park,その他,東部,〒321-0968 宇都宮市中今泉3-8-1,028-634-7011,なし,あり,なし,
トースト＆カフェ Pan de cafe,カフェ・スイーツ,中央,〒321-0925 宇都宮市東簗瀬1-29-1,028-615-7585,なし,あり,なし,
Pan de park 南図書館店,カフェ・スイーツ,南部,〒321-0121 宇都宮市雀宮町56-1,028-653-7500,なし,あり,なし,
フルーツダイニング パレットパセオ店　宇都宮駅ビル1F,カフェ・スイーツ,中央,〒321-0965 宇都宮市川向町1-23,028-627-8596,なし,あり,なし,
Lounge 蕾,その他,中央,〒320-0033 宇都宮市本町7-3ABCビル2F,028-612-2535,なし,なし,なし,
little kitchen,居酒屋,中央,〒320-0802 宇都宮市江野町6-6井上ビル2階,028-632-1013,http://little-kitchen.main.jp/,あり,なし,
はましょう　-浜正-,ラーメン,西部,〒320-0072 宇都宮市若草3-19-24,028-627-4187,なし,あり,なし,
日本料理　蒲焼　青やぎ,和食,中央,〒320-0055 宇都宮市下戸祭2-15-7,028-622-6606,なし,あり,なし,
宮ノ橋　上ル下ル,お好み焼き・もんじゃ焼き・焼きそば,中央,〒320-0811 宇都宮市大通り3-3-1,090-1735-7373,なし,あり,あり,
Source,イタリアン・フレンチ,中央,〒320-0811 宇都宮市大通り4-1-15,028-622-7557,なし,あり,あり,
株式会社Luxaxe,ステーキ,中央,〒320-0802 宇都宮市江野町6-4イサミビル１F,028-680-7964,なし,あり,なし,
MINAMI,その他,東部,〒321-0953 宇都宮市東宿郷2-17-14永島コーポ102,090-7635-9373,なし,なし,なし,
ラーメン园々,ラーメン,中央,〒320-0031 宇都宮市戸祭元町3-3エクセレンス元町105,028-643-9539,なし,あり,なし,
イタリア料理　ラ・パデラ,イタリアン・フレンチ,中央,〒320-0818 宇都宮市旭1-5-1,028-632-8008,なし,あり,なし,
みどり野　山本,うどん・そば,南部,〒321-0136 宇都宮市みどり野町8-15,028-653-1533,なし,あり,あり,
居酒屋　甲府,居酒屋,中央,〒321-0954 宇都宮市元今泉4-7-16,028-636-2854,なし,なし,なし,
食工房　Moga,洋食,東部,〒321-0945 宇都宮市宿郷1-19-3ラポール入江　1F,028-632-8340,なし,あり,なし,
粕尾茶屋,和食,北部,〒329-1102 宇都宮市白沢町2024-40,028-673-0951,なし,あり,なし,
レストランアンサンブル,洋食,南部,〒321-0166 宇都宮市今宮1-6-12,028-684-6299,なし,あり,なし,
遼順茶楼,中華,東部,〒321-0953 宇都宮市東宿郷2-10-12,028-638-8869,なし,あり,なし,
中国の味 さかえ,中華,南部,〒321-0103 宇都宮市台新田町168-1,028-659-8868,なし,あり,なし,
串鳥東武宇都宮駅前店,その他,中央,〒320-0802 宇都宮市江野町５－９篠原ビル1階,028-614-2255,https://kushidori.com/,あり,なし,
松庵,うどん・そば,中央,〒320-0801 宇都宮市池上町2-8,028-678-9597,https://gdzb501.gorp.jp/,なし,なし,
ひょうたん寿司,和食,東部,〒321-0953 宇都宮市東宿郷4-6-3,028-637-1807,なし,なし,なし,
みそだれやきとり大ちゃん,居酒屋,中央,〒321-0962 宇都宮市今泉町2542-8,070-8586-0463,なし,なし,なし,
そばうどんのおやど,うどん・そば,中央,〒320-0031 宇都宮市戸祭元町5-6,028-650-2811,なし,なし,なし,
しゃぶ葉 宇都宮ゆいの杜,その他,東部,〒321-3226 宇都宮市ゆいの杜6-17-23,028-670-2808,https://www.skylark.co.jp/,あり,なし,
しゃぶ葉 宇都宮戸祭,その他,西部,〒320-0051 宇都宮市上戸祭町531,028-650-1208,https://www.skylark.co.jp/,あり,なし,
居心家　TOMOE,居酒屋,中央,〒320-0806 宇都宮市中央2-1-8旭ビル　1F,028-348-3345,なし,なし,なし,
旬料理響,居酒屋,中央,〒320-0033 宇都宮市本町5-7ノアビル1階,080-2015-0725,なし,あり,なし,
有限会社　多喜川,和食,中央,〒320-0033 宇都宮市本町7-8,028-622-9323,なし,あり,なし,
居酒屋漁場,居酒屋,東部,〒321-0953 宇都宮市東宿郷2-12-1交通パーキングビル１階,028-633-4448,https://www.hotpepper.jp/strJ000033558/,あり,なし,JR宇都宮駅東口徒歩3分
モダンパスタ宇都宮鶴田店,洋食,西部,〒320-0851 宇都宮市鶴田町3397-17,028-651-2181,https://www.bashamichi.co.jp/,あり,なし,
モダンパスタ宇都宮東宿郷店,洋食,東部,〒321-0953 宇都宮市東宿郷6-1-8,028-610-9181,https://www.bashamichi.co.jp/,あり,なし,
鉄板焼 TSUKINOUSAGI,ステーキ,西部,〒320-0857 宇都宮市鶴田2-14-6,028-647-4129,https://teppanyaki-tsukinousagi.com,あり,あり,
イタリアン バル PEGASO,ダイニングバー・バル,中央,〒320-0801 宇都宮市池上町4-4,028-614-0050,なし,あり,なし,
星ノ雫,居酒屋,西部,〒320-0851 宇都宮市鶴田町1998-5菖蒲苑マンション102,028-648-8007,なし,なし,なし,
和創ダイニング雅,居酒屋,東部,〒321-0912 宇都宮市石井町3435-11,028-656-5644,なし,なし,なし,
フランス料理　グルメ,イタリアン・フレンチ,西部,〒320-0017 宇都宮市戸祭台49-5,028-625-4203,なし,なし,なし,
サンマルクカフェ　アピタ宇都宮店,カフェ・スイーツ,南部,〒321-0101 宇都宮市江曽島本町22-7,028-684-2211,http://www.apitautsunomiya.com/,あり,なし,
四六時中　アピタ宇都宮店,和食,南部,〒321-0101 宇都宮市江曽島本町22-7,028-684-2211,http://www.apitautsunomiya.com/,あり,なし,
バーガーキング　アピタ宇都宮店,ファストフード,南部,〒321-0101 宇都宮市江曽島本町22-7,028-684-2211,http://www.apitautsunomiya.com/,あり,なし,
へんこつうどん　アピタ宇都宮店,うどん・そば,南部,〒321-0101 宇都宮市江曽島本町22-7,028-684-2211,http://www.apitautsunomiya.com/,あり,なし,
ロッテリア　アピタ宇都宮店,ファストフード,南部,〒321-0101 宇都宮市江曽島本町22-7,028-684-2211,http://www.apitautsunomiya.com/,あり,なし,
レインボーハット　アピタ宇都宮店,カフェ・スイーツ,南部,〒321-0101 宇都宮市江曽島本町22-7,028-684-2211,http://www.apitautsunomiya.com/,あり,なし,
銀だこ　アピタ宇都宮店,ファストフード,南部,〒321-0101 宇都宮市江曽島本町22-7,028-684-2211,http://www.apitautsunomiya.com/,あり,なし,
王子飯店,中華,中央,〒320-0034 宇都宮市泉町2-18,028-622-5707,なし,なし,あり,
KAMAGAWA BARRACK,ダイニングバー・バル,中央,〒320-0033 宇都宮市本町８－１６,028-612-1610,なし,あり,なし,
韓国料理コリア,各国料理（韓国料理・カレー等）,東部,〒321-0953 宇都宮市東宿郷3－13－6吉田マンション北1F,028-688-0279,なし,あり,なし,
RoySe Cafe,カフェ・スイーツ,西部,〒320-0051 宇都宮市上戸祭町55-11ログハウス店舗,028-689-8063,https://royse.club,あり,あり,"コロナ対策の為、席数制限しております。
営業時間は公式HPまで。"
そば処　大八,和食,北部,〒329-1104 宇都宮市下岡本町4263,028-673-3867,https://soba-noodle-shop-1216.business.site,あり,あり,
鮨一凛,和食,中央,〒320-0803 宇都宮市曲師町5-3,070-4110-2076,https://sushi-ichirin.com/,なし,なし,
食工房　NO・RA　yokomatsu,洋食,南部,〒321-0923 宇都宮市下栗町261,028-656-0146,なし,なし,なし,
(有)　ブロンコ,ダイニングバー・バル,中央,〒320-0811 宇都宮市大通り2-1-4,000-000-0000,なし,あり,なし,
ニューみらく,和食,西部,〒320-0061 宇都宮市宝木町1-3-106,028-622-1009,なし,あり,あり,
ジンギスカンcafeじん助,焼肉・ホルモン,東部,〒321-0954 宇都宮市元今泉5-13-14パークイースト1F,028-660-4800,https://s.tabelog.com/tochigi/A0901/A090101/9011452/,なし,なし,
辰巳寿司,その他,西部,〒321-0138 宇都宮市兵庫塚3-48-16,028-653-5357,なし,あり,なし,
大阪鉄板,お好み焼き・もんじゃ焼き・焼きそば,東部,〒321-0953 宇都宮市東宿郷2-13-15ソフィア2ビル 1F,028-633-0700,なし,あり,なし,
カレーショップ　フジ,各国料理（韓国料理・カレー等）,中央,〒320-0802 宇都宮市江野町1-8,028-634-8361,なし,あり,なし,
四季彩百花　ひと色,和食,中央,〒321-0964 宇都宮市駅前通り3-5-27宇都宮フォーラムズ101,028-639-1016,なし,あり,あり,
ビストロ　スリール,イタリアン・フレンチ,中央,〒320-0812 宇都宮市一番町3-1,028-611-1929,https://instagram.com/bistro.sourire_utsunomiya?r=nametag,あり,なし,
愛满州,中華,西部,〒320-0865 宇都宮市睦町5-5ス一パ一センタ一トライアル,028-638-7787,なし,あり,あり,
大陸食道宮環豊郷店,焼肉・ホルモン,北部,〒320-0004 宇都宮市長岡町90-1,028-643-2914,http://www.tairiku-r.com,あり,なし,
韓国茶屋ハノク②,各国料理（韓国料理・カレー等）,中央,〒320-0861 宇都宮市西1-1-3,028-307-8172,なし,あり,なし,
韓国料理ハノク,各国料理（韓国料理・カレー等）,南部,〒320-0833 宇都宮市不動前3-1-22,028-612-1377,なし,あり,なし,
味処きゅうび,和食,北部,〒321-0982 宇都宮市御幸ケ原町143-41,028-663-7800,なし,あり,なし,
バルーンフラワー,居酒屋,東部,〒321-0953 宇都宮市東宿郷4-6-5タテノコーポ1階,028-632-1194,https://www.hotpepper.jp/strJ001109053/,あり,なし,
やきとり割烹　串かど,和食,西部,〒320-0049 宇都宮市一の沢町255-11,028-625-6663,なし,あり,なし,
やきにく穏和宇都宮店,焼肉・ホルモン,南部,〒321-0132 宇都宮市雀の宮1-15-11,028-678-9029,なし,あり,あり,
ラーメンねぎっこ下川俣店,ラーメン,北部,〒321-0972 宇都宮市下川俣町268-1,028-662-3688,なし,なし,なし,
ラーメンねぎっこ競輪場通り店,ラーメン,中央,〒321-0962 宇都宮市今泉町320-1,028-622-3353,なし,なし,なし,
はなの詩,洋食,東部,〒321-3221 宇都宮市板戸町1223-1,028-667-2484,なし,なし,なし,
麻辣香,ラーメン,中央,〒321-0964 宇都宮市駅前通り3-1-166kk第二ビル,080-4898-2012,なし,あり,なし,
味処　大作,和食,東部,〒321-0912 宇都宮市石井町3408-3,028-661-9143,なし,あり,なし,
新和食うた,和食,中央,〒320-0806 宇都宮市中央2-1-8旭ビル2階,028-614-8335,なし,あり,なし,
甘味工房　木の葉亭,和食,中央,〒321-0966 宇都宮市今泉2-7-5,028-622-7335,なし,なし,なし,
スープカレー専門店　黄すけ,各国料理（韓国料理・カレー等）,東部,〒321-0945 宇都宮市宿郷2-10-9タイムアップ２１　１階１０２,028-666-7272,https://www.big-advance.site/s/143/1684,あり,なし,
ビステリア メリメロ,イタリアン・フレンチ,南部,〒321-0158 宇都宮市西川田本町2-14-11,028-659-7120,なし,あり,なし,
ろばた割烹　とう兵衛,和食,中央,〒320-0806 宇都宮市中央5-1-14,028-632-1126,http://tobey.jp,なし,なし,
かに料理　宇都宮甲羅本店,和食,東部,〒321-0945 宇都宮市宿郷5-1-1,028-636-5755,なし,あり,なし,
孔華,中華,西部,〒320-0044 宇都宮市南一の沢町1-28キョウセイマンション103,028-632-5453,なし,なし,なし,
沖縄料理　願寿亭,その他,東部,〒321-0904 宇都宮市陽東4-10-18,028-663-1753,http://ganjyutei.com,あり,なし,
三代目本家　金鮨,和食,中央,〒320-0804 宇都宮市二荒町1-3,028-634-6789,なし,なし,なし,
お好み焼肉道とん堀　平松本町店,焼肉・ホルモン,中央,〒321-0932 宇都宮市平松本町1112-1,028-651-4321,なし,あり,なし,
焼肉　火牛亭,焼肉・ホルモン,東部,〒321-0954 宇都宮市元今泉2-25-5,028-636-0029,なし,なし,なし,
ENVY,ダイニングバー・バル,東部,〒321-0953 宇都宮市東宿郷2-11-2泉ビル　1F,028-633-1112,なし,あり,あり,
鉄板グリルダイニング弘路,ステーキ,西部,〒320-0061 宇都宮市宝木町2-2567-9,028-678-9380,なし,あり,あり,
やきとり　かしわ,居酒屋,東部,〒321-0952 宇都宮市泉が丘3-5-6,028-662-6257,なし,あり,なし,
呑み喰い処　だるま,居酒屋,南部,〒321-0136 宇都宮市みどり野町21-13高島テナント101,028-612-4122,なし,あり,なし,
無限花序,和食,東部,〒321-0901 宇都宮市平出町3655,028-661-5790,なし,なし,なし,
鮨割烹　一濱,和食,南部,〒321-0112 宇都宮市屋板町1077-10,028-656-8199,なし,あり,あり,
すし和食　久,和食,中央,〒320-0861 宇都宮市西1-4-7,028-612-1957,なし,なし,なし,
NEW上海,中華,東部,〒321-0945 宇都宮市宿郷3-15-3,028-638-7771,なし,あり,なし,
タリーズコーヒー 宇都宮IPV,カフェ・スイーツ,南部,〒321-0118 宇都宮市インターパーク4-1-3インターパークショッピングビレッジ内,028-657-6710,なし,あり,なし,
さあどぷれいす蔵,創作料理,南部,〒321-0135 宇都宮市五代2-12-32,028-653-5234,なし,なし,なし,
麺中中,ラーメン,中央,〒320-0838 宇都宮市吉野1-4-17Aokiビル1F,028-633-0762,なし,なし,なし,
海の幸山の幸もくもく酒場,居酒屋,中央,〒320-0812 宇都宮市一番町1-5ピットインアール一番館,028-689-9881,なし,あり,あり,
酔処へべれけ,居酒屋,東部,〒321-0945 宇都宮市宿郷2-7-3IRビル宿郷1-C,028-638-4861,なし,なし,なし,
muku 焼き菓子,カフェ・スイーツ,中央,〒320-0011 宇都宮市千波町17-11,028-624-8735,http://muku2011.exblog.jp,あり,なし,
cahe-cahe,居酒屋,東部,〒321-0942 宇都宮市峰4-10-28山口マンション　1FB,028-664-0789,なし,あり,なし,
カフェ　くーずべりー,カフェ・スイーツ,南部,〒321-0158 宇都宮市西川田本町3-2-25,028-645-2538,https://www.k-very.com/,なし,なし,
うまいもん食彩本店,居酒屋,東部,〒321-0945 宇都宮市宿郷1-5-6中村ビル,028-678-5508,なし,あり,なし,
慶安樓,中華,中央,〒320-0861 宇都宮市西1-4-3,028-633-1735,なし,なし,あり,
炭火焼　ぱちぱち,和食,中央,〒320-0032 宇都宮市昭和1-1-24小口ビル1階,028-627-8870,なし,あり,なし,
ビッグボーイ宇都宮簗瀬店,その他,中央,〒321-0934 宇都宮市簗瀬4-15-15,028-651-4381,なし,あり,なし,
ラウラウ,ダイニングバー・バル,中央,〒321-0933 宇都宮市簗瀬町1935-2,028-638-7393,https://laulau.owst.jp/,あり,なし,
炭火串焼　とり芳,居酒屋,中央,〒320-0802 宇都宮市江野町6-4 いさみビル2階,028-678-2721,なし,なし,なし,
いたりあ食房アルコバレーノ,イタリアン・フレンチ,南部,〒321-0118 宇都宮市インターパーク5-2-1,028-688-3663,なし,あり,なし,
Nombre and cafe,カフェ・スイーツ,北部,〒329-1105 宇都宮市中岡本町3718-8,090-8592-7030,なし,あり,なし,
なずな,居酒屋,中央,〒320-0027 宇都宮市塙田2-2-2,028-643-7811,なし,あり,なし,
中華料理 康楽,中華,南部,〒321-0107 宇都宮市江曽島2-17-12,028-658-6788,なし,なし,なし,
居酒屋　福兵衛,居酒屋,中央,〒320-0033 宇都宮市本町6-1オオノビル2F,028-622-6533,なし,あり,あり,
肴処　九十,和食,中央,〒321-0985 宇都宮市東町20-1コーポ鷹101号,028-612-5073,なし,なし,なし,
ぼちぼち,居酒屋,中央,〒321-0964 宇都宮市駅前通り1-4-6トナリエ宇都宮1階南側,028-621-3808,なし,なし,なし,
ダイニングバーMeTime,各国料理（韓国料理・カレー等）,中央,〒321-0964 宇都宮市駅前通り3-3-3,028-688-8899,なし,あり,なし,
タンタン本舗,ラーメン,中央,〒320-0826 宇都宮市西原町187-1,028-632-0066,なし,あり,なし,
くつろぎダイニング 睦月,その他,中央,〒320-0811 宇都宮市大通り4-1-13第一浅野ビル　1F,028-627-7666,なし,なし,なし,
coffee×bar maru,カフェ・スイーツ,中央,〒320-0801 宇都宮市池上町1-10ラシックビル2F,070-4347-3787,https://coffeebarmaru.com,あり,なし,
がブリチキン。宇都宮馬場通り店,居酒屋,中央,〒320-0026 宇都宮市馬場通り2-3-9,028-666-0808,https://www.hotpepper.jp/strJ001162142/,あり,なし,
炭火焼鳥ろく,居酒屋,南部,〒321-0151 宇都宮市西川田町1007-16,050-1012-8039,なし,あり,なし,
七輪,焼肉・ホルモン,中央,〒320-0804 宇都宮市二荒町１－６屋台横丁内,080-5201-1116,なし,なし,なし,
サパ食堂,居酒屋,西部,〒320-0851 宇都宮市鶴田町453-125,028-666-5356,https://instagram.com/sapashokudou?utm_medium=copy_link,なし,なし,
香里香,餃子,南部,〒321-0108 宇都宮市春日町4-21川堀ハイツ,028-348-2596,https://foodplace/shanrishan/,なし,なし,
レストラン　フィールド,洋食,西部,〒321-0151 宇都宮市西川田町71-5レストラン　フィールド,028-645-5380,なし,あり,なし,
ウエストサイドクラブノーネーム,その他,西部,〒320-0033 宇都宮市本町6-10ステラビル1F,028-678-5544,なし,なし,なし,
かぶと屋,居酒屋,中央,〒320-0033 宇都宮市本町７－３ABCビル１Ｆ,028-643-7111,なし,あり,なし,
ばんどう太郎宇都宮店,和食,西部,〒320-0857 宇都宮市鶴田3-18-10,028-648-1191,なし,あり,なし,
焼肉栄養センター,焼肉・ホルモン,東部,〒321-0941 宇都宮市東今泉2-3-17焼肉栄養センター,028-612-6050,なし,なし,なし,
じゃあじゃあまん,お好み焼き・もんじゃ焼き・焼きそば,東部,〒321-0954 宇都宮市元今泉3-2-6,028-638-7331,http://www.jya-jya-man.jp,あり,なし,
小料理まめ,和食,中央,〒320-0034 宇都宮市泉町1-15,028-680-6533,なし,あり,あり,
いちげん,居酒屋,中央,〒320-0802 宇都宮市江野町7-17老川ビル,028-678-9033,なし,あり,なし,
居酒屋輝太郎,居酒屋,西部,〒320-0857 宇都宮市鶴田3-8-3,028-348-3121,https://izakayakitarou.com/,あり,なし,
台湾伝統料理　大将,中華,東部,〒321-0953 宇都宮市東宿郷2-17-14リトルアジア105,028-635-8055,https://www.taiwanstyle-gyoza.com/,あり,あり,
パイプのけむり　池上町本店,ダイニングバー・バル,中央,〒320-0801 宇都宮市池上町2-1プラチナビル5F,028-635-9281,http://8star.family,なし,なし,
